strain	virus	accession	date	region	country	segment	host	virus_type	originating_lab	submitting_lab	authors	url	title	journal	paper_url
PUMC03	sarslike	AY357076	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	Zou et al	https://www.ncbi.nlm.nih.gov/nuccore/AY357076	Direct Submission	Submitted (31-JUL-2003) Biochemistry and Molecular Biology, Chinese Academy of Medical Sciences and Peking Union Medical College, 5# Dong Dan San Tiao, Beijing 100005, P.R. China	?
recSARS_CoV_HKU_39849	sarslike	JN854286	2003-04-16	Europe	United Kingdom	genome	Unknown	SARS-CoV-1	?	?	van den Worm et al	https://www.ncbi.nlm.nih.gov/nuccore/JN854286	Reverse genetics of SARS-related coronavirus using vaccinia virus-based recombination	PLoS ONE 7 (3), E32857 (2012)	?
Rf1	sarslike	DQ412042	?	?	Na	genome	Bat	SARS-like CoV	?	?	Li et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ412042	Bats are natural reservoirs of SARS-like coronaviruses	Science 310 (5748), 676-679 (2005)	?
Rf4092	sarslike	KY417145	2012-09-18	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY417145	Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus	PLoS Pathog. 13 (11), e1006698 (2017)	?
Rm1	sarslike	DQ412043	?	?	Na	genome	Bat	SARS-like CoV	?	?	Li et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ412043	Bats are natural reservoirs of SARS-like coronaviruses	Science 310 (5748), 676-679 (2005)	?
Rp3	sarslike	DQ071615	?	China	China	genome	Bat	SARS-like CoV	?	?	Li et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ071615	Bats are natural reservoirs of SARS-like coronaviruses	Science 310 (5748), 676-679 (2005)	?
Rs672	sarslike	FJ588686	2006-XX-XX	China	China	genome	Bat	SARS-like CoV	?	?	Yuan et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ588686	Intraspecies diversity of SARS-like coronaviruses in Rhinolophus sinicus and its implications for the origin of SARS coronaviruses in humans	J. Gen. Virol. 91 (PT 4), 1058-1062 (2010)	?
Rs3367	sarslike	KC881006	2012-03-19	China	China	genome	Bat	SARS-like CoV	?	?	Ge et al	https://www.ncbi.nlm.nih.gov/nuccore/KC881006	Isolation and characterization of a bat SARS-like coronavirus that uses the ACE2 receptor	Nature 503, 535-538 (2013)	?
Rs4081	sarslike	KY417143	2012-09-18	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY417143	Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus	PLoS Pathog. 13 (11), e1006698 (2017)	?
Rs4084	sarslike	KY417144	2012-09-18	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY417144	Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus	PLoS Pathog. 13 (11), e1006698 (2017)	?
Rs4231	sarslike	KY417146	2013-04-17	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY417146	Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus	PLoS Pathog. 13 (11), e1006698 (2017)	?
Rs4237	sarslike	KY417147	2013-04-17	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY417147	Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus	PLoS Pathog. 13 (11), e1006698 (2017)	?
Rs4247	sarslike	KY417148	2013-04-17	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY417148	Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus	PLoS Pathog. 13 (11), e1006698 (2017)	?
Rs4255	sarslike	KY417149	2013-04-17	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY417149	Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus	PLoS Pathog. 13 (11), e1006698 (2017)	?
Rs4874	sarslike	KY417150	2013-07-21	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY417150	Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus	PLoS Pathog. 13 (11), e1006698 (2017)	?
Rs7327	sarslike	KY417151	2014-10-24	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY417151	Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus	PLoS Pathog. 13 (11), e1006698 (2017)	?
Rs9401	sarslike	KY417152	2015-10-16	China	China	genome	Bat	SARS-like CoV	?	?	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY417152	Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus	PLoS Pathog. 13 (11), e1006698 (2017)	?
RsSHC014	sarslike	KC881005	2011-04-17	China	China	genome	Bat	SARS-like CoV	?	?	Ge et al	https://www.ncbi.nlm.nih.gov/nuccore/KC881005	Isolation and characterization of a bat SARS-like coronavirus that uses the ACE2 receptor	Nature 503, 535-538 (2013)	?
ShanghaiQXC1	sarslike	AY463059	?	China	China	genome	Unknown	SARS-CoV-1	?	?	Yuan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY463059	Analysis of SARS coronavirus genome in Shanghai isolates	Unpublished	?
ShanghaiQXC2	sarslike	AY463060	?	China	China	genome	Unknown	SARS-CoV-1	?	?	Yuan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY463060	Analysis of SARS coronavirus genome in Shanghai isolates	Unpublished	?
Sin842	sarslike	AY559081	2003-XX-XX	Southeast Asia	Singapore	genome	Human	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559081	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
Sin845	sarslike	AY559093	?	Southeast Asia	Singapore	genome	Unknown	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559093	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
Sin846	sarslike	AY559094	2003-XX-XX	Southeast Asia	Singapore	genome	Human	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559094	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
Sin847	sarslike	AY559095	?	Southeast Asia	Singapore	genome	Unknown	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559095	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
Sin848	sarslike	AY559085	2003-XX-XX	Southeast Asia	Singapore	genome	Human	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559085	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
Sin849	sarslike	AY559086	2003-XX-XX	Southeast Asia	Singapore	genome	Human	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559086	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
Sin850	sarslike	AY559096	2003-XX-XX	Southeast Asia	Singapore	genome	Human	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559096	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
Sin852	sarslike	AY559082	2003-XX-XX	Southeast Asia	Singapore	genome	Human	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559082	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
SIN2500	sarslike	AY283794	?	Southeast Asia	Singapore	genome	Unknown	SARS-CoV-1	?	?	Ruan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY283794	Comparative full-length genome sequence analysis of 14 SARS coronavirus isolates and common mutations associated with putative origins of infection	Lancet 361 (9371), 1779-1785 (2003)	?
SIN2677	sarslike	AY283795	?	Southeast Asia	Singapore	genome	Unknown	SARS-CoV-1	?	?	Ruan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY283795	Comparative full-length genome sequence analysis of 14 SARS coronavirus isolates and common mutations associated with putative origins of infection	Lancet 361 (9371), 1779-1785 (2003)	?
SIN2679	sarslike	AY283796	?	Southeast Asia	Singapore	genome	Unknown	SARS-CoV-1	?	?	Ruan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY283796	Comparative full-length genome sequence analysis of 14 SARS coronavirus isolates and common mutations associated with putative origins of infection	Lancet 361 (9371), 1779-1785 (2003)	?
SIN2748	sarslike	AY283797	?	Southeast Asia	Singapore	genome	Unknown	SARS-CoV-1	?	?	Ruan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY283797	Comparative full-length genome sequence analysis of 14 SARS coronavirus isolates and common mutations associated with putative origins of infection	Lancet 361 (9371), 1779-1785 (2003)	?
SIN2774	sarslike	AY283798	?	Southeast Asia	Singapore	genome	Unknown	SARS-CoV-1	?	?	Ruan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY283798	Comparative full-length genome sequence analysis of 14 SARS coronavirus isolates and common mutations associated with putative origins of infection	Lancet 361 (9371), 1779-1785 (2003)	?
Sin3408	sarslike	AY559083	?	Southeast Asia	Singapore	genome	Unknown	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559083	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
Sin3408L	sarslike	AY559097	?	Southeast Asia	Singapore	genome	Unknown	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559097	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
Sin3725V	sarslike	AY559087	?	Southeast Asia	Singapore	genome	Unknown	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559087	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
Sin3765V	sarslike	AY559084	?	Southeast Asia	Singapore	genome	Unknown	SARS-CoV-1	?	?	Vega et al	https://www.ncbi.nlm.nih.gov/nuccore/AY559084	Mutational dynamics of the SARS coronavirus in cell culture and human populations isolated in 2003	BMC Infect. Dis. 4, 32 (2004)	?
Sino1_11	sarslike	AY485277	?	China	China	genome	Human	SARS-CoV-1	?	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/AY485277	Preparation and characterization of SARS in-house reference antiserum	Vaccine 23 (48-49), 5666-5669 (2005)	?
Sino3_11	sarslike	AY485278	?	China	China	genome	Human	SARS-CoV-1	?	?	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/AY485278	Preparation and characterization of SARS in-house reference antiserum	Vaccine 23 (48-49), 5666-5669 (2005)	?
SoD	sarslike	AY461660	?	West Asia	Russia	genome	Human	SARS-CoV-1	?	?	Onishchenko et al	https://www.ncbi.nlm.nih.gov/nuccore/AY461660	The complete genome of the SARS associated Coronavirus isolate SoD	Unpublished	?
SZ1	sarslike	AY304489	?	China	Hong Kong	genome	Unknown	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY304489	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	Science 302 (5643), 276-278 (2003)	?
SZ3	sarslike	AY304486	2003-XX-XX	China	Hong Kong	genome	Civet	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY304486	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	Science 302 (5643), 276-278 (2003)	?
SZ13	sarslike	AY304487	?	China	Hong Kong	genome	Unknown	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY304487	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	Science 302 (5643), 276-278 (2003)	?
SZ16	sarslike	AY304488	2003-XX-XX	China	Hong Kong	genome	Civet	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY304488	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	Science 302 (5643), 276-278 (2003)	?
TC1	sarslike	AY338174	?	China	Taiwan	genome	Unknown	SARS-CoV-1	?	?	Shih et al	https://www.ncbi.nlm.nih.gov/nuccore/AY338174	SARS-CoV infection was from at least two origins in the Taiwan area	Intervirology 48 (2-3), 124-132 (2005)	?
TC2	sarslike	AY338175	?	China	Taiwan	genome	Unknown	SARS-CoV-1	?	?	Shih et al	https://www.ncbi.nlm.nih.gov/nuccore/AY338175	SARS-CoV infection was from at least two origins in the Taiwan area	Intervirology 48 (2-3), 124-132 (2005)	?
TC3	sarslike	AY348314	?	China	Taiwan	genome	Unknown	SARS-CoV-1	?	?	Shih et al	https://www.ncbi.nlm.nih.gov/nuccore/AY348314	SARS-CoV infection was from at least two origins in the Taiwan area	Intervirology 48 (2-3), 124-132 (2005)	?
TJF	sarslike	AY654624	?	China	Taiwan	genome	Swine	SARS-CoV-1	?	?	Chen et al	https://www.ncbi.nlm.nih.gov/nuccore/AY654624	SARS-associated coronavirus transmitted from human to pig	Emerging Infect. Dis. 11 (3), 446-448 (2005)	?
Tor2	sarslike	AY274119	?	North America	Canada	genome	Unknown	SARS-CoV-1	?	?	He et al	https://www.ncbi.nlm.nih.gov/nuccore/AY274119	Analysis of multimerization of the SARS coronavirus nucleocapsid protein	Biochem. Biophys. Res. Commun. 316 (2), 476-483 (2004)	?
Tor2/FP1_10851	sarslike	JX163927	2010-02-05	North America	USA	genome	Unknown	SARS-CoV-1	?	?	Town et al	https://www.ncbi.nlm.nih.gov/nuccore/JX163927	Direct Submission	Submitted (25-MAY-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?
Tor2/FP1_10895	sarslike	JX163928	2010-02-05	North America	USA	genome	Unknown	SARS-CoV-1	?	?	Town et al	https://www.ncbi.nlm.nih.gov/nuccore/JX163928	Direct Submission	Submitted (25-MAY-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?
Tor2/FP1_10912	sarslike	JX163926	2010-02-10	North America	USA	genome	Unknown	SARS-CoV-1	?	?	Town et al	https://www.ncbi.nlm.nih.gov/nuccore/JX163926	Direct Submission	Submitted (25-MAY-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?
TW1	sarslike	AY291451	2003-XX-XX	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Yeh et al	https://www.ncbi.nlm.nih.gov/nuccore/AY291451	Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: molecular epidemiology and genome evolution	Proc. Natl. Acad. Sci. U.S.A. 101 (8), 2542-2547 (2004)	?
TW2	sarslike	AY502925	2003-XX-XX	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Yeh et al	https://www.ncbi.nlm.nih.gov/nuccore/AY502925	Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: molecular epidemiology and genome evolution	Proc. Natl. Acad. Sci. U.S.A. 101 (8), 2542-2547 (2004)	?
TW3	sarslike	AY502926	2003-XX-XX	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Yeh et al	https://www.ncbi.nlm.nih.gov/nuccore/AY502926	Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: molecular epidemiology and genome evolution	Proc. Natl. Acad. Sci. U.S.A. 101 (8), 2542-2547 (2004)	?
TW4	sarslike	AY502927	2003-XX-XX	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Yeh et al	https://www.ncbi.nlm.nih.gov/nuccore/AY502927	Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: molecular epidemiology and genome evolution	Proc. Natl. Acad. Sci. U.S.A. 101 (8), 2542-2547 (2004)	?
TW5	sarslike	AY502928	2003-XX-XX	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Yeh et al	https://www.ncbi.nlm.nih.gov/nuccore/AY502928	Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: molecular epidemiology and genome evolution	Proc. Natl. Acad. Sci. U.S.A. 101 (8), 2542-2547 (2004)	?
TW6	sarslike	AY502929	2003-XX-XX	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Yeh et al	https://www.ncbi.nlm.nih.gov/nuccore/AY502929	Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: molecular epidemiology and genome evolution	Proc. Natl. Acad. Sci. U.S.A. 101 (8), 2542-2547 (2004)	?
TW7	sarslike	AY502930	2003-XX-XX	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Yeh et al	https://www.ncbi.nlm.nih.gov/nuccore/AY502930	Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: molecular epidemiology and genome evolution	Proc. Natl. Acad. Sci. U.S.A. 101 (8), 2542-2547 (2004)	?
TW8	sarslike	AY502931	2003-XX-XX	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Yeh et al	https://www.ncbi.nlm.nih.gov/nuccore/AY502931	Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: molecular epidemiology and genome evolution	Proc. Natl. Acad. Sci. U.S.A. 101 (8), 2542-2547 (2004)	?
TW9	sarslike	AY502932	2003-XX-XX	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Yeh et al	https://www.ncbi.nlm.nih.gov/nuccore/AY502932	Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: molecular epidemiology and genome evolution	Proc. Natl. Acad. Sci. U.S.A. 101 (8), 2542-2547 (2004)	?
TW10	sarslike	AY502923	2003-XX-XX	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Yeh et al	https://www.ncbi.nlm.nih.gov/nuccore/AY502923	Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: molecular epidemiology and genome evolution	Proc. Natl. Acad. Sci. U.S.A. 101 (8), 2542-2547 (2004)	?
TW11	sarslike	AY502924	2003-XX-XX	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Yeh et al	https://www.ncbi.nlm.nih.gov/nuccore/AY502924	Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: molecular epidemiology and genome evolution	Proc. Natl. Acad. Sci. U.S.A. 101 (8), 2542-2547 (2004)	?
TWC	sarslike	AY321118	?	China	Taiwan	genome	Unknown	SARS-CoV-1	?	?	Yang et al	https://www.ncbi.nlm.nih.gov/nuccore/AY321118	Genomic sequence of SARS isolate from the first fatal case in Taiwan	Unpublished	?
TWC2	sarslike	AY362698	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	Yang et al	https://www.ncbi.nlm.nih.gov/nuccore/AY362698	Whole genomic sequence of a SARS virus isolated from a SARS patient in Hoping Hospital in Taiwan	Unpublished	?
TWC3	sarslike	AY362699	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	Yang et al	https://www.ncbi.nlm.nih.gov/nuccore/AY362699	Completed and direct sequence of throat swab sample taken from the first index case in Hoping hospital outbreak	Unpublished	?
TWH	sarslike	AP006557	?	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Shu et al	https://www.ncbi.nlm.nih.gov/nuccore/AP006557	The complete genome of SARS coronavirus TWH	Published Only in Database (2003)	?
TWJ	sarslike	AP006558	?	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Shu et al	https://www.ncbi.nlm.nih.gov/nuccore/AP006558	The complete genome of SARS coronavirus TWJ	Published Only in Database (2003)	?
TWK	sarslike	AP006559	?	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Shu et al	https://www.ncbi.nlm.nih.gov/nuccore/AP006559	The complete genome of SARS coronavirus TWK	Published Only in Database (2003)	?
TWS	sarslike	AP006560	?	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Shu et al	https://www.ncbi.nlm.nih.gov/nuccore/AP006560	The complete genome of SARS coronavirus TWS	Published Only in Database (2003)	?
TWY	sarslike	AP006561	?	China	Taiwan	genome	Human	SARS-CoV-1	?	?	Shu et al	https://www.ncbi.nlm.nih.gov/nuccore/AP006561	The complete genome of SARS coronavirus TWY	Published Only in Database (2003)	?
Urbani	sarslike	AY278741	2017-05-27	North America	USA	genome	Unknown	SARS-CoV-1	?	?	Rota et al	https://www.ncbi.nlm.nih.gov/nuccore/AY278741	Characterization of a SARS-CoV-2 associated with severe acute respiratory syndrome	Science 300 (5624), 1394-1399 (2003)	?
Wuhan-Hu-1/2019	sarslike	WH-Human_1	2019-12-26	China	China	genome	Human	SARS-CoV-2	?	?	Zhang et al	http://virological.org/t/initial-genome-release-of-novel-coronavirus/319	Initial genome release of SARS-CoV-2	?	?
WH20	sarslike	AY772062	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	Lu et al	https://www.ncbi.nlm.nih.gov/nuccore/AY772062	Humoral and cellular immune responses induced by 3a DNA vaccines against severe acute respiratory syndrome (SARS) or SARS-like coronavirus in mice	Clin. Vaccine Immunol. 16 (1), 73-77 (2009)	?
WHU	sarslike	AY394850	2003-XX-XX	?	Na	genome	Human	SARS-CoV-1	?	?	Yan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY394850	SARS coronavirus induces apoptosis in Vero E6 cells	J. Med. Virol. 73 (3), 323-331 (2004)	?
WIV1	sarslike	KF367457	2012-09-XX	China	China	genome	Bat	SARS-like CoV	?	?	Ge et al	https://www.ncbi.nlm.nih.gov/nuccore/KF367457	Isolation and characterization of a bat SARS-like coronavirus that uses the ACE2 receptor	Nature (2013) In press	?
WTic	sarslike	JF292921	2009-03-18	North America	USA	genome	Unknown	SARS-CoV-1	?	?	Town et al	https://www.ncbi.nlm.nih.gov/nuccore/JF292921	Direct Submission	Submitted (20-JAN-2011) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?
wtic_MB	sarslike	FJ882933	2007-09-26	North America	USA	genome	Unknown	SARS-CoV-1	?	?	Yount et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ882933	Reverse genetics with a full-length infectious cDNA of severe acute respiratory syndrome coronavirus	Proc. Natl. Acad. Sci. U.S.A. 100 (22), 12995-13000 (2003)	?
Wuhan/IPBCAMS-WH-01/2019	sarslike	EPI_ISL_402123	2019-12-24	China	China	genome	Human	SARS-CoV-2	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Ren et al	https://www.gisaid.org/	Newly discovered betacoronavirus, Wuhan 2019-2020	?	?
Wuhan/IVDC-HB-01/2019	sarslike	EPI_ISL_402119	2019-12-30	China	China	genome	Human	SARS-CoV-2	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Tan et al	https://www.gisaid.org/	Newly discovered betacoronavirus, Wuhan 2019-2020	?	?
Wuhan/IVDC-HB-04/2020	sarslike	EPI_ISL_402120	2020-01-01	China	China	genome	Human	SARS-CoV-2	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Tan et al	https://www.gisaid.org/	Newly discovered betacoronavirus, Wuhan 2019-2020	?	?
Wuhan/IVDC-HB-05/2019	sarslike	EPI_ISL_402121	2019-12-30	China	China	genome	Human	SARS-CoV-2	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Tan et al	https://www.gisaid.org/	Newly discovered betacoronavirus, Wuhan 2019-2020	?	?
Wuhan/WIV04/2019	sarslike	EPI_ISL_402124	2019-12-30	China	China	genome	Human	SARS-CoV-2	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Zhou et al	https://www.gisaid.org/	Newly discovered betacoronavirus, Wuhan 2019-2020	?	?
YNLF_31C	sarslike	KP886808	2013-05-23	China	China	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/KP886808	Direct Submission	Submitted (04-MAR-2015) Department of Microbiology, The University of Hong Kong, University Pathology Building, Queen Mary Hospital, Hong Kong, Hong Kong	?
YNLF_34C	sarslike	KP886809	2013-05-23	China	China	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/KP886809	Direct Submission	Submitted (04-MAR-2015) Department of Microbiology, The University of Hong Kong, University Pathology Building, Queen Mary Hospital, Hong Kong, Hong Kong	?
ZJ01	sarslike	AY297028	?	China	China	genome	Unknown	SARS-CoV-1	?	?	Li et al	https://www.ncbi.nlm.nih.gov/nuccore/AY297028	SARS coronavirus ZJ01 isolate genome sequence	Unpublished	?
ZJ02	sarslike	EU371559	2003-XX-XX	China	China	genome	Unknown	SARS-CoV-1	?	?	Lu et al	https://www.ncbi.nlm.nih.gov/nuccore/EU371559	Direct Submission	Submitted (04-JAN-2008) Zhejiang Provincial Center for Disease Prevention and Control, 17 Laozhedazhi Road, Hangzhou 310009, Zhejiang, China	?
ZJ0301	sarslike	DQ182595	2003-04-21	China	China	genome	Human	SARS-CoV-1	?	?	Li et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ182595	Severe acute respiratory syndrome-associated coronavirus genotype and its characterization	Chin. Med. J. 116 (9), 1288-1292 (2003)	?
ZMY_1	sarslike	AY351680	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	Zeng et al	https://www.ncbi.nlm.nih.gov/nuccore/AY351680	Direct Submission	Submitted (28-JUL-2003) Central Laboratory, Guangzhou Children Hospital, 318 Renmin Road, Guangzhou, Guangdong 510120, P.R. China	?
ZS_A	sarslike	AY394997	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394997	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
ZS_B	sarslike	AY394996	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394996	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
ZS_C	sarslike	AY395003	2003-XX-XX	?	Na	genome	Human	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY395003	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
